iter	Logloss
0	0.6887045288
1	0.6838246663
2	0.6791681417
3	0.6746183268
4	0.6701290894
5	0.6665814209
6	0.6625874837
7	0.6586095683
8	0.6543968709
9	0.650610555
10	0.6467943827
11	0.6431420898
12	0.638959554
13	0.6355779521
14	0.6321397909
15	0.6288983154
16	0.6247865804
17	0.6208884684
18	0.6173178101
19	0.6148024495
20	0.6117052205
21	0.6083054097
22	0.6051612854
23	0.6022637431
24	0.5995840454
25	0.5964440409
26	0.5933283488
27	0.5912393188
28	0.5882965088
29	0.5854312134
30	0.5825559489
31	0.5805321248
32	0.5786865743
33	0.5759200541
34	0.573169047
35	0.5708907064
36	0.5685236613
37	0.5664354451
38	0.5633432007
39	0.5609326681
40	0.5582305908
41	0.5557800802
42	0.553311971
43	0.5506415304
44	0.5487833659
45	0.5467790222
46	0.5449487305
47	0.5427656047
48	0.5406134033
49	0.5385481771
50	0.5365397644
51	0.5343289693
52	0.5320928955
53	0.5298766581
54	0.5275935364
55	0.5256741333
56	0.5236779785
57	0.5227006022
58	0.5207858276
59	0.5190168254
60	0.51709788
61	0.5153393555
62	0.5137883504
63	0.5128993734
64	0.5112015279
65	0.5092527771
66	0.5073104858
67	0.5055827332
68	0.5038071187
69	0.501969401
70	0.5004855855
71	0.4986477661
72	0.4976051331
73	0.496140391
74	0.4945318604
75	0.4930781555
76	0.4917109172
77	0.4900872294
78	0.4887023417
79	0.4873576355
80	0.4857568359
81	0.4844556681
82	0.4831981405
83	0.4815437826
84	0.4804618327
85	0.4790799459
86	0.4781663005
87	0.4771209208
88	0.4756786092
89	0.474038798
90	0.4725198873
91	0.4713387044
92	0.4698730977
93	0.4682735697
94	0.4671010335
95	0.4656569417
96	0.4644285075
97	0.4638312785
98	0.4629419963
99	0.4615890503
100	0.4605135091
101	0.4592077637
102	0.4588485718
103	0.4575872803
104	0.4565289307
105	0.4552423604
106	0.4540513102
107	0.4530789185
108	0.4520637004
109	0.4506424459
110	0.4498243713
111	0.4489463298
112	0.447623291
113	0.4462358093
114	0.4454564412
115	0.4442342631
116	0.4429495239
117	0.441896108
118	0.4412309774
119	0.4402582804
120	0.4390678914
121	0.4380533854
122	0.4372483317
123	0.4365681966
124	0.4352859497
125	0.4350479635
126	0.4339352417
127	0.4335817973
128	0.4324749756
129	0.4313949585
130	0.4302369181
131	0.4291416931
132	0.4279886882
133	0.4271829224
134	0.4261491903
135	0.4250643921
136	0.4243317413
137	0.4230802663
138	0.4221367645
139	0.4214308167
140	0.4205964661
141	0.4196538035
142	0.4187110901
143	0.4179552714
144	0.4171010081
145	0.4163602702
146	0.4156538645
147	0.4148562622
148	0.4138758087
149	0.4130019379
150	0.4119233704
151	0.4111667887
152	0.4101393382
153	0.4092318217
154	0.4083009084
155	0.4074801127
156	0.4067092133
157	0.4058383942
158	0.4047416433
159	0.4039663696
160	0.4031543986
161	0.4025062815
162	0.4018467204
163	0.4013500977
164	0.4004942067
165	0.3992570496
166	0.3985705566
167	0.3978375244
168	0.3972338359
169	0.3961798604
170	0.3952762858
171	0.3945130157
172	0.3938364156
173	0.3931976827
174	0.3923821513
175	0.3914608765
176	0.3907384491
177	0.3901190694
178	0.3894725037
179	0.388788503
180	0.3879565175
181	0.38739446
182	0.3868100484
183	0.3859024811
184	0.3851851654
185	0.3843349965
186	0.3836792501
187	0.3827839915
188	0.382109019
189	0.3812228902
190	0.3806069946
191	0.3798695119
192	0.379242452
193	0.3789993795
194	0.3784407043
195	0.3776159159
196	0.3768893687
197	0.3762955475
198	0.3756026713
199	0.3748095703
200	0.3742310079
201	0.3736659749
202	0.372832133
203	0.372282664
204	0.3717420197
205	0.3711640676
206	0.3704670207
207	0.3697660828
208	0.3688866679
209	0.3682287089
210	0.367456665
211	0.3667077128
212	0.3662732697
213	0.3659909566
214	0.3654321543
215	0.3649643453
216	0.3643693542
217	0.3637894694
218	0.3629956563
219	0.3624776713
220	0.3619877116
221	0.361395874
222	0.3611685689
223	0.3606974284
224	0.3598697662
225	0.3594875081
226	0.3588232422
227	0.3581089783
228	0.3576115926
229	0.3569867452
230	0.3569231415
231	0.3563879395
232	0.3559799703
233	0.3556199392
234	0.355125885
235	0.3546302541
236	0.3542010752
237	0.3535175832
238	0.3530378215
239	0.3524707031
240	0.35172671
241	0.3510757701
242	0.3506600698
243	0.3500989024
244	0.3495227559
245	0.3489012909
246	0.348241984
247	0.3476926676
248	0.3470066833
249	0.3463269297
250	0.3458638509
251	0.3454329681
252	0.3453607686
253	0.3450856018
254	0.3446229045
255	0.3441676585
256	0.3435815175
257	0.3430731201
258	0.3426028442
259	0.3421246847
260	0.341593984
261	0.341081899
262	0.3406145732
263	0.3401721191
264	0.3397955322
265	0.3394126892
266	0.3390311178
267	0.3385753123
268	0.3379847972
269	0.3373988342
270	0.336842041
271	0.3361884816
272	0.3355117544
273	0.3351075236
274	0.3346418762
275	0.3342166138
276	0.3338910166
277	0.333205897
278	0.3324600983
279	0.3320118205
280	0.3314625041
281	0.3309289042
282	0.3304722087
283	0.3299816895
284	0.3296057129
285	0.3292372131
286	0.3288155619
287	0.3285576884
288	0.3281402842
289	0.3274927521
290	0.3269577026
291	0.326522522
292	0.3261954244
293	0.3261132812
294	0.325594635
295	0.3250616964
296	0.3245870209
297	0.3244733683
298	0.3240879313
299	0.3235934194
300	0.3235573069
301	0.32304245
302	0.3224908447
303	0.3220592753
304	0.321660436
305	0.3216146851
306	0.3211231486
307	0.3208992004
308	0.3206077576
309	0.3202699025
310	0.3197345479
311	0.3192882029
312	0.3187163544
313	0.3182426961
314	0.3180179342
315	0.3173972829
316	0.3170213826
317	0.3166480509
318	0.3162511444
319	0.3157084401
320	0.3153105927
321	0.3146882121
322	0.3140157318
323	0.3136090088
324	0.3133005778
325	0.3130383301
326	0.3126303355
327	0.3120882161
328	0.3115524546
329	0.3110917409
330	0.3105739848
331	0.3103687795
332	0.3101253764
333	0.3095618439
334	0.3090811666
335	0.3086434937
