iter	Passed	Remaining
0	5	5452
1	10	4690
2	16	5052
3	22	5151
4	25	4826
5	30	4735
6	35	4776
7	40	4735
8	45	4670
9	49	4554
10	55	4682
11	59	4589
12	63	4493
13	68	4516
14	73	4524
15	78	4523
16	83	4508
17	88	4498
18	92	4459
19	95	4364
20	100	4378
21	104	4353
22	109	4349
23	115	4381
24	120	4379
25	124	4359
26	131	4421
27	135	4401
28	140	4389
29	145	4388
30	150	4397
31	154	4355
32	156	4274
33	162	4312
34	167	4308
35	171	4289
36	178	4332
37	183	4332
38	188	4330
39	195	4386
40	202	4415
41	207	4418
42	214	4450
43	218	4435
44	224	4450
45	230	4457
46	234	4441
47	240	4451
48	245	4446
49	249	4427
50	254	4410
51	260	4432
52	264	4408
53	268	4391
54	274	4394
55	279	4386
56	283	4375
57	285	4327
58	292	4351
59	296	4335
60	301	4327
61	308	4355
62	313	4337
63	315	4305
64	322	4326
65	328	4324
66	332	4316
67	340	4341
68	343	4321
69	349	4319
70	355	4328
71	359	4312
72	362	4288
73	367	4283
74	372	4279
75	377	4266
76	383	4275
77	387	4267
78	392	4254
79	396	4244
80	403	4256
81	407	4240
82	411	4231
83	416	4228
84	421	4222
85	426	4210
86	431	4206
87	435	4200
88	439	4185
89	443	4171
90	449	4173
91	453	4157
92	458	4152
93	463	4149
94	467	4139
95	471	4128
96	476	4117
97	479	4104
98	484	4099
99	489	4089
100	493	4083
101	499	4083
102	501	4058
103	506	4051
104	511	4051
105	515	4035
106	520	4030
107	525	4027
108	529	4020
109	534	4011
110	538	4004
111	544	4006
112	548	3993
113	553	3989
114	559	3995
115	564	3992
116	569	3989
117	576	3993
118	580	3987
119	586	3985
120	591	3986
121	596	3981
122	602	3983
123	607	3980
124	612	3973
125	614	3952
126	619	3945
127	624	3939
128	628	3930
129	632	3922
130	637	3918
131	642	3911
132	646	3905
133	651	3898
134	657	3902
135	662	3898
136	668	3896
137	672	3889
138	676	3880
139	681	3872
140	685	3867
141	689	3856
142	694	3848
143	697	3837
144	702	3834
145	706	3824
146	712	3825
147	718	3828
148	723	3821
149	727	3811
150	731	3803
151	736	3799
152	740	3789
153	744	3782
154	750	3781
155	754	3772
156	758	3764
157	763	3758
158	768	3754
159	772	3746
160	776	3740
161	782	3738
162	787	3732
163	791	3723
164	795	3716
165	800	3710
166	804	3705
167	809	3701
168	815	3702
169	820	3695
170	825	3692
171	831	3691
172	835	3685
173	840	3681
174	845	3678
175	850	3671
176	855	3667
177	861	3668
178	866	3663
179	870	3657
180	878	3663
181	882	3655
182	887	3651
183	893	3650
184	897	3642
185	901	3635
186	906	3631
187	911	3627
188	917	3624
189	922	3623
190	927	3618
191	932	3614
192	939	3616
193	942	3604
194	947	3599
195	952	3597
196	957	3592
197	961	3584
198	965	3577
199	971	3575
200	975	3566
201	979	3559
202	984	3554
203	988	3548
204	992	3540
205	996	3532
206	1002	3529
207	1007	3525
208	1011	3517
209	1015	3510
210	1019	3504
211	1026	3505
212	1031	3500
213	1034	3488
214	1040	3487
215	1045	3484
216	1050	3480
217	1056	3478
218	1060	3473
219	1065	3467
220	1070	3463
221	1074	3456
222	1078	3447
223	1082	3439
224	1087	3435
225	1092	3430
226	1096	3425
227	1102	3423
228	1107	3418
229	1111	3411
230	1112	3396
231	1118	3392
232	1123	3389
233	1127	3381
234	1131	3374
235	1135	3368
236	1140	3362
237	1144	3357
238	1149	3352
239	1153	3346
240	1158	3339
241	1162	3333
242	1167	3329
243	1170	3320
244	1174	3313
245	1179	3307
246	1183	3301
247	1187	3295
248	1191	3288
249	1197	3284
250	1200	3277
251	1205	3270
252	1207	3260
253	1212	3255
254	1217	3251
255	1221	3244
256	1226	3241
257	1231	3235
258	1235	3230
259	1240	3224
260	1245	3219
261	1248	3212
262	1253	3206
263	1257	3201
264	1262	3197
265	1266	3190
266	1270	3184
267	1275	3179
268	1279	3173
269	1283	3165
270	1287	3158
271	1292	3154
272	1296	3147
273	1300	3141
274	1304	3135
275	1309	3131
276	1313	3124
277	1317	3117
278	1321	3112
279	1326	3107
280	1330	3100
281	1334	3093
282	1339	3090
283	1344	3086
284	1348	3080
285	1353	3076
286	1359	3074
287	1364	3069
288	1369	3065
289	1373	3060
290	1378	3054
291	1382	3048
292	1387	3043
293	1389	3034
294	1394	3029
295	1398	3023
296	1403	3019
297	1405	3008
298	1408	3001
299	1412	2994
300	1414	2984
301	1419	2980
302	1423	2974
303	1427	2968
304	1431	2962
305	1435	2954
306	1439	2948
307	1442	2940
308	1446	2934
309	1451	2930
310	1455	2925
311	1459	2919
312	1463	2913
313	1468	2909
314	1472	2903
315	1477	2898
316	1483	2896
317	1489	2894
318	1493	2889
319	1501	2889
320	1506	2886
321	1511	2881
322	1516	2877
323	1520	2872
324	1524	2866
325	1529	2862
326	1533	2856
327	1538	2851
328	1542	2845
329	1547	2841
330	1552	2837
331	1556	2831
332	1560	2825
333	1564	2819
334	1568	2813
335	1571	2806
336	1576	2802
337	1580	2796
338	1584	2791
339	1589	2785
340	1594	2782
341	1598	2776
342	1603	2771
343	1609	2769
344	1614	2765
345	1619	2761
346	1626	2760
347	1631	2756
348	1635	2751
349	1639	2744
350	1644	2740
351	1648	2734
352	1652	2729
353	1658	2726
354	1662	2721
355	1667	2716
356	1672	2712
357	1676	2707
358	1681	2701
359	1688	2701
360	1693	2697
361	1697	2691
362	1703	2688
363	1707	2682
364	1711	2677
365	1716	2673
366	1722	2670
367	1726	2665
368	1731	2660
369	1746	2672
370	1752	2668
371	1756	2663
372	1761	2658
373	1766	2653
374	1771	2650
375	1775	2645
376	1781	2641
377	1786	2637
378	1791	2632
379	1796	2628
380	1802	2626
381	1807	2621
382	1813	2618
383	1819	2615
384	1823	2610
385	1828	2606
386	1834	2602
387	1838	2596
388	1842	2591
389	1848	2587
390	1852	2581
391	1856	2576
392	1861	2571
393	1866	2568
394	1871	2562
395	1879	2562
396	1884	2558
397	1889	2553
398	1894	2550
399	1899	2544
400	1903	2540
401	1909	2536
402	1914	2532
403	1918	2526
404	1925	2524
405	1930	2519
406	1934	2514
407	1939	2510
408	1944	2505
409	1949	2500
410	1955	2497
411	1960	2493
412	1965	2489
413	1971	2485
414	1977	2483
415	1982	2478
416	1988	2474
417	1991	2467
418	1996	2462
419	2000	2458
420	2008	2456
421	2012	2450
422	2016	2445
423	2023	2443
424	2028	2438
425	2034	2435
426	2041	2433
427	2045	2428
428	2052	2425
429	2056	2420
430	2062	2417
431	2068	2412
432	2074	2410
433	2079	2404
434	2086	2402
435	2091	2398
436	2096	2393
437	2103	2391
438	2107	2386
439	2113	2382
440	2120	2380
441	2125	2375
